Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Sentido,Agência,Operador,Mercadoria,ETA,Chegada,Janela Operacional,Prancha (t/dia),Previsto,Cal. Cheg.,Cal. Saída,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
75363,,213,LORD BYRON,9803340,22899,"81.837,00",Exp,ALPHAMAR,ALPHAMAR PORT SERVICES,SOJA,22/01/2025 18:00,19/12/2024 12:30,,,"68.000,000 Tons.",700,1300,,,
75275,8682025.0,212,MINIMATA,9952464,22900,"82.202,00",Exp,FERTIMPORT,CARGONAVE,FARELO DE SOJA,21/01/2025 18:00,21/01/2025 16:24,,,"63.372,000 Tons.",940,1310,,,
75392,,213,CRIMSON AMBER,9836476,22899,"81.703,00",Exp,ALPHAMAR,ALPHAMAR PORT SERVICES,SOJA,21/01/2025 12:00,21/01/2025 09:43,,,"66.000,000 Tons.",700,1310,,,
75314,,212,MASTRO NIKOS,9583196,22899,8218,Exp,CARGONAVE,CARGONAVE,SOJA,20/01/2025 20:00,22/01/2025 11:24,,,"65.000,000 Tons.",588,1200,,,
75393,,201,GRAND OCEAN,9949651,22899,"82.689,00",Exp,CARGILL AGRICOLA,TIBAGI,SOJA,20/01/2025 19:00,19/01/2025 17:42,,,"52.500,000 Tons.",860,1280,,,
75368,29532025.0,212,GRAND OCEAN,9949651,22899,"82.689,00",Exp,CARGILL AGRICOLA,TIBAGI,SOJA,19/01/2025 13:00,19/01/2025 17:42,,,"17.500,000 Tons.",860,1280,,,
75328,195982024.0,209,THALIS,9616747,18640,"37.189,00",Imp,AMART,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,MAP,19/01/2025 13:00,19/01/2025 06:00,,,"33.000,000 Tons.",1071,520,,,
75300,27042025.0,213,CL XINYU,9938810,22900,"82.330,00",Exp,CARGILL AGRICOLA,TIBAGI,SOJA,18/01/2025 10:00,03/12/2024 04:30,,,"69.200,000 Tons.",950,1250,,,
75272,15202025.0,208,MIDJUR,9835771,19000,"47.069,60",Imp,WILSON SONS,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,MAP,18/01/2025 09:00,18/01/2025 09:00,,,"39.542,000 Tons.",1020,700,,,
75345,23612025.0,142,JUN MA,9353113,18433,"37.321,00",Imp,LACHMANN,CPA TERMINAL PARANAGUA S.A,OLEO DIESEL,17/01/2025 01:00,16/01/2025 14:42,,,"32.899,000 Tons.",1150,900,,,
