Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Bordo,Sentido,Agência,Operador,Mercadoria,Atracação,Chegada,Janela Operacional,Prancha (t/dia),Tons/Dia,Previsto,Realizado,Saldo Operador,Saldo Total
75342,10922025,216,TRAIGUEN,9627904,29990,"116.384,00",BB,Imp/Exp,LACHMANN,TCP (NBN),CONTÊINERES (CONTENTORES) INCL,22/01/2025 01:17,22/01/2024 22:00,,0,0 Movs.,800 Movs.,0 Movs.,800 Movs.,800 Movs.
75226,592462024,144,LINDANGER,9725299,18606,"49.999,00",BB,Imp,ROCHAMAR,CATTALINI,METANOL,22/01/2025 09:30,,22/01/2025 09:30 - 24/01/2025 22:45,"15.000,000","0,000 Tons.","36.104,000 Tons.","0,000 Tons.","36.104,000 Tons.","36.104,000 Tons."
75287,12362025,218,CMA CGM BELEM,9938286,33600,"145.650,00",BB,Imp/Exp,UNIMAR,TCP (SSA),CONTÊINERES (CONTENTORES) INCL,22/01/2025 12:13,22/01/2025 08:00,,0,0 Movs.,500 Movs.,0 Movs.,500 Movs.,500 Movs.
75097,558972024,143,SHAMROCK MERCURY,9477531,14553,"19.998,00",BB,Imp,ROCHAMAR,CATTALINI,SODA CÁUSTICA,22/01/2025 01:30,,22/01/2025 01:30 - 24/01/2025 05:59,"5.000,000","0,000 Tons.","10.001,000 Tons.","347,000 Tons.","9.654,000 Tons.","9.654,000 Tons."
75279,15582025,204,CASDA,9802267,19990,"64.012,00",BB,Exp,ALPHAMAR,CEU AZUL,AÇÚCAR,18/01/2025 21:03,18/01/2025 04:30,18/01/2025 21:03 - 22/01/2025 23:39,"20.000,000","19.848,000 Tons.","60.100,000 Tons.","60.100,000 Tons.","0,000 Tons.","0,000 Tons."
75292,15502025,214,AQUA LADY,9288435,22500,"76.492,00",BB,Exp,CARGONAVE,CARGONAVE,FARELO DE SOJA,22/01/2025 04:20,16/01/2025 17:54,22/01/2025 04:20 - 24/01/2025 11:41,"30.000,000","549,000 Tons.","62.000,000 Tons.","3.989,000 Tons.","58.011,060 Tons.","58.011,060 Tons."
75271,8132025,213,YASA KAPTAN ERBIL,9514341,18999,"56.169,00",BE,Exp,CARGILL AGRICOLA,TIBAGI,SOJA,21/01/2025 14:55,11/01/2025 00:15,21/01/2025 14:55 - 23/01/2025 08:59,"44.544,000","10.355,000 Tons.","52.250,000 Tons.","17.819,000 Tons.","34.430,620 Tons.","34.430,620 Tons."
75054,553042024,205,SERENA,9451173,19000,"57.266,00",BE,Imp,WILSON SONS,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,CEVADA CERVEJEIRA,20/01/2025 16:20,07/01/2025 01:18,20/01/2025 16:20 - 24/01/2025 10:27,"6.000,000","5.829,000 Tons.","21.549,000 Tons.","9.976,000 Tons.","11.573,100 Tons.","11.573,100 Tons."
75019,568542024,215,UNION GROOVE,9580106,18000,"35.063,70",BB,Imp,WORLD SHIPPING PARANA,HARBOR,NITRATO DE AMONIO,22/01/2025 07:25,04/01/2025 11:06,22/01/2025 07:25 - 24/01/2025 01:14,"7.500,000","0,000 Tons.","12.857,000 Tons.","1.690,000 Tons.","11.166,880 Tons.","11.166,880 Tons."
75167,581692024,212,KEY HUNTER,9461312,22899,"82.099,00",BB,Exp,WILSON SONS,TIBAGI,FARELO DE SOJA,19/01/2025 04:15,01/01/2025 08:48,19/01/2025 04:15 - 20/01/2025 00:36,"30.000,000","5.099,000 Tons.","63.405,000 Tons.","23.837,000 Tons.","39.568,340 Tons.","39.568,340 Tons."
75103,578102024,202,AMALEA,9470818,16926,"28.451,00",BE,Exp,MARCON,MARCON,OUTS.ACUCARES,13/01/2025 21:15,31/12/2024 07:36,13/01/2025 21:15 - 23/01/2025 16:24,"4.000,000","3.083,000 Tons.","25.082,000 Tons.","22.760,000 Tons.","2.322,150 Tons.","2.322,150 Tons."
75029,561072024,208,LORD BYRON,9803340,22899,"81.837,00",BE,Imp,CARGONAVE,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,SULFATO DE AMONIO,17/01/2025 23:40,19/12/2024 12:30,17/01/2025 23:40 - 26/01/2025 16:49,"7.523,808","9.084,000 Tons.","56.406,000 Tons.","28.661,000 Tons.","27.745,200 Tons.","27.811,680 Tons."
75029,561072024,208,LORD BYRON,9803340,22899,"81.837,00",BE,Imp,CARGONAVE,HARBOR,SULFATO DE AMONIO,17/01/2025 23:40,19/12/2024 12:30,17/01/2025 23:40 - 29/01/2025 15:57,476184,"0,000 Tons.","3.570,000 Tons.","3.504,000 Tons.","66,480 Tons.","27.811,680 Tons."
