Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Bordo,Sentido,Agência,Operador,Mercadoria,Chegada,Desatracacao,Janela Operacional,Prancha (t/dia),Previsto,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
75341,23042025,216,HYUNDAI PRESTIGE,9625528,25549,"63.010,00",BB,Imp/Exp,UNIMAR,TCP (FIL),CONTÊINERES (CONTENTORES) INCL,21/01/2025 07:00,21/01/2025 19:05,,0,528 Movs.,,,,
75364,26522025,216,MSC SHUBA B,9778076,33000,"134.007,10",BB,Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP (IPN),CONTÊINERES (CONTENTORES) INCL,19/01/2025 20:00,20/01/2025 19:35,,0,608 Movs.,,,,
75269,590392024,216,SAN ANTONIO MAERSK,9622241,33320,"124.458,00",BB,Imp/Exp,LACHMANN,TCP (SCS),CONTÊINERES (CONTENTORES) INCL,20/01/2025 10:00,21/01/2025 08:40,,0,1.048 Movs.,,,,
75258,4162025,219,ADRIATIC HIGHWAY,9442885,19997,"18.868,00",BE,Imp/Exp,UNIMAR,ORION,VEICULOS,19/01/2025 15:54,21/01/2025 00:05,20/01/2025 13:20 - 21/01/2025 02:37,5.000,949 Movs.,,,,
75281,11172025,215,ZIM BALTIMORE,9395953,25889,"52.360,00",BB,Imp/Exp,ZIM DO BRASIL,TCP (ZGT),CONTÊINERES (CONTENTORES) INCL,20/01/2025 19:24,20/01/2025 07:35,,0,443 Movs.,,,,
75352,25612025,215,CHISE BULKER,9667722,17999,"33.355,00",BB,Exp,SEATRADE SERVICOS PORTUARIOS E LOGISTICOS,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,PASTA QUIM.MADEIRA DE N/CONIF.,19/01/2025 12:12,22/01/2025 05:06,20/01/2025 16:05 - 22/01/2025 06:40,"9.000,000","14.000,000 Tons.",,,,
75317,15822025,144,TORM AMORINA,9484895,18290,"46.184,00",BB,Exp,ORION,CATTALINI,OLEO DE MILHO,19/01/2025 06:00,21/01/2025 04:12,19/01/2025 13:35 - 20/01/2025 22:38,"8.000,000","9.000,000 Tons.",,,,
75213,12025,143,ALPINE LIBERTY,9478690,18300,"49.999,00",BB,Exp,CARGILL AGRICOLA,CATTALINI,OLEO DE SOJA,18/01/2025 09:48,20/01/2025 16:20,18/01/2025 14:15 - 20/01/2025 02:57,"8.000,000","10.000,000 Tons.",,,,
74636,560952024,215,POLARIS LEADER,9372810,17990,"17.406,00",BE,Imp/Exp,LACHMANN,MARCON,VEICULOS,18/01/2025 21:00,19/01/2025 15:35,19/01/2025 01:20 - 20/01/2025 06:01,3.600,2.250 Movs.,,,,
75333,21302025,216,BF HAMBURG,9332860,29318,"72.982,00",BE,Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP (US1),CONTÊINERES (CONTENTORES) INCL,18/01/2025 21:00,19/01/2025 18:45,,0,818 Movs.,,,,
75266,589342024,218,MAERSK EL PALOMAR,9964481,33500,"152.237,00",BB,Imp/Exp,LACHMANN,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,19/01/2024 18:00,20/01/2025 13:44,,0,800 Movs.,,,,
75236,922025,218,GREEN VITORIA,9976472,22500,"64.995,00",BE,Imp/Exp,UNIMAR,TCP (EXT),CONTÊINERES (CONTENTORES) INCL,20/01/2025 00:12,21/01/2025 02:35,,0000,"3.402,000 Tons.",,,,
75205,592502024,213,JEN LR,9947249,22899,"82.411,00",BB,Exp,BPA,TIBAGI,MILHO,11/01/2025 16:48,21/01/2025 13:00,18/01/2025 04:00 - 21/01/2025 05:39,"44.544,000","66.000,000 Tons.",,,,
75253,7392025,214,KERKYRA,9607162,22900,"81.376,00",BB,Exp,ALPHAMAR,TIBAGI,FARELO DE SOJA,10/01/2025 00:00,19/01/2025 15:06,13/01/2025 13:04 - 17/01/2025 12:29,"30.000,000","64.800,000 Tons.",,,,
75168,577552024,205,AFRICAN TOUCAN,9801263,17997,"37.730,00",BB,Imp,WILSON SONS,CENTRO SUL,OUT.TRIGOS E MISTURAS DE TRIGO,04/01/2025 00:24,20/01/2025 14:39,17/01/2025 20:48 - 22/01/2025 22:27,"6.000,000","33.000,000 Tons.",,,,
75170,577672024,214,BROAD BONNIE,9362231,22494,"76.629,00",BB,Exp,WILSON SONS,TIBAGI,SOJA,19/12/2024 17:28,22/01/2025 02:15,19/01/2025 16:40 - 22/01/2025 04:50,"43.200,000","66.500,000 Tons.",,,,
74833,509992024,209,CL XINYU,9938810,22900,"82.330,00",BB,Imp,ORION,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,SULFATO DE AMONIO,03/12/2024 04:30,20/01/2025 05:47,10/01/2025 14:40 - 22/01/2025 09:39,"7.438,984","63.648,000 Tons.",,,,
74833,509992024,209,CL XINYU,9938810,22900,"82.330,00",BB,Imp,ORION,FORTESOLO,SULFATO DE AMONIO,03/12/2024 04:30,20/01/2025 05:47,10/01/2025 14:40 - 27/01/2025 10:01,561008,"4.800,000 Tons.",,,,
