Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Sentido,Agência,Operador,Mercadoria,ETA,Janela Operacional,Prancha (t/dia),Previsto,Cal. Cheg.,Cal. Saída,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
74950,,205,L AUSTRAL,9502518,14210,"1.441,20",Imp,ISS MARINE,APPA,PASSAGEIROS,22/03/2027 06:00,,,"0,000 Tons.",500,500,,,,
72780,,205,SILVER WHISPER,9192179,18600,"2.980,00",Exp,STAR SHIP AGENCIA MARITIMA,APPA,PASSAGEIROS,20/02/2026 06:00,,,"0,000 Tons.",570,570,,,,
70607,,205,SILVER WHISPER,9192179,18600,"2.980,00",Imp/Exp,STAR SHIP AGENCIA MARITIMA,APPA,PASSAGEIROS,08/02/2026 06:00,,,"0,000 Tons.",650,650,,,,
70604,,205,SILVER WHISPER,9192179,18600,"2.980,00",Imp/Exp,STAR SHIP AGENCIA MARITIMA,APPA,PASSAGEIROS,22/12/2025 06:00,,,"0,000 Tons.",650,650,,,,
75318,,215,JAZAN,9349540,30610,"85.463,00",Imp/Exp,ROCHAMAR,TCP (GS1),CONTÊINERES (CONTENTORES) INCL,16/03/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75308,14522025.0,218,NC BRAVO,9612791,22391,"48.044,00",Imp/Exp,ROCHAMAR,TCP (UCL),CONTÊINERES (CONTENTORES) INCL,13/03/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75309,14622025.0,218,PARANAGUA EXPRESS,9786724,33000,"132.430,70",Imp/Exp,ROCHAMAR,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,11/03/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75311,,216,IRENES RESOLVE,9227273,25738,"51.060,00",Imp/Exp,ROCHAMAR,TCP (SAT),CONTÊINERES (CONTENTORES) INCL,10/03/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75310,,218,NC BRISA,9612789,22396,"48.039,00",Imp/Exp,ROCHAMAR,TCP (UCL),CONTÊINERES (CONTENTORES) INCL,06/03/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75367,,211,VERILA,9905734,19000,"32.160,00",Imp,ROCHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,FOSFATO MONO OU DISSODICO,03/03/2025 08:00,,,"33.000,000 Tons.",940,750,,,,
75305,14302025.0,215,LE HAVRE EXPRESS,9332872,29318,"72.982,00",Imp/Exp,ROCHAMAR,TCP (GS1),CONTÊINERES (CONTENTORES) INCL,28/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75304,14232025.0,218,NC BREDA,9612765,22400,"48.044,00",Imp/Exp,ROCHAMAR,TCP (NBN),CONTÊINERES (CONTENTORES) INCL,27/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75302,14502025.0,218,CZECH,9723241,29998,"111.530,00",Imp/Exp,ROCHAMAR,TCP (IPN),CONTÊINERES (CONTENTORES) INCL,25/02/2025 13:00,,,1.050 Movs.,1200,1000,,,,
75301,14492025.0,218,CAUQUENES,9687552,29990,"116.933,00",Imp/Exp,ROCHAMAR,TCP (IPN),CONTÊINERES (CONTENTORES) INCL,25/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
75307,14432025.0,218,SALVADOR EXPRESS,9793894,33000,"132.736,00",Imp/Exp,ROCHAMAR,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,24/02/2025 12:00,,,1.050 Movs.,1200,1000,,,,
