Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
MSC LOS ANGELES,LIBERIANA,276 10.1,Long,13/06/2024 10:00:00,2555--,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 18000,2453-0 2024,241782024,B,B.T.P. 1,9327798,
ALS VESTA,SINGAPURENSE,209 9,Long,05/08/2024 16:00:00,3382--,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3335-- 2024,324552024,B,TECON,9525950,
MAIPO,LIBERIANA,306 7,Long,24/11/2024 17:00:00,5059-8,ROCHAMAR AGENCIA MARITIMA S/A,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620,4929-1 2024,480952024,B,EPORT 1/TECON 1,9400083,
CMA CGM MAUPASSANT,MALTESA,231 10,Long,15/01/2025 13:00:00,0192-9,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0003-5 2025,594392024,B,EPORT 1/TECON 1,9409209,
JAMAICA EXPRESS,ILHAS MARSHALL,271 13,Long,16/01/2025 21:00:00,0211-9,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3220 210,5861-1 2024,575812024,B,EPORT 1/TECON 1,9686912,
NAVEGANTES EXPRESS,SINGAPURENSE,330 7,Long,19/01/2025 01:48:00,0251-8,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,21852 180,5942-1 2024,585402024,B,B.T.P. 1,9793935,
BF HAMBURG,LIBERIANA,293 13.5,Long,20/01/2025 06:12:00,0266-6,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 1800,0197-4 2025,13802025,B,B.T.P. 1,9332860,
LOG-IN POLARIS,BRASILEIRA,186 8.1,Cabo,20/01/2025 20:35:00,0273-9,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,0192-2 2025,15622025,B,TECON,9852365,
SEASPAN HARRIER,HONG KONG,330 12.2,Long,21/01/2025 16:30:00,0285-2,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,5490-3 2024,534482024,B,B.T.P. 1,9793923,
ALESSIA,LIBERIANA,300 13.7,Long,22/01/2025,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,10800 3600,5726-7 2024,560882024,B,EPORT 1/TECON 1,9225653,
ALS VESTA,SINGAPURENSE,209 8,Long,22/01/2025,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400,5478-3 2024,530372024,B,TECON,9525950,
AS CASPRIA,LIBERIANA,225 9.1,Long,22/01/2025,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3529-0 2024,348882024,B,TECON,9399753,
BREMERHAVEN EXPRESS,MALTESA,300 7,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1080 26226,5872-3 2024,575842024,B,B.T.P. 1,9723253,
BRIGHT,PORTUGUESA,186 9,Long,22/01/2025,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400,4749-3 2024,453742024,B,TECON,9778399,
BROOKLYN BRIDGE,JAPONESA,267 12.3,Long,22/01/2025,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,5408-5 2024,527242024,B,EPORT 1/TECON 1,9458999,
CMA CGM PLATON,MALTESA,170 9.4,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0203-4 2025,16222025,B,TECON,9362437,
CORCOVADO,LIBERIANA,300 9,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,108 14760,5869-2 2024,576112024,B,TECON,9687564,
