Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
YM PIONEER,LIBERIANA,229 13.2,Long,08/12/2024 17:20:00,5265-5,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,SOJA A GRANEL,69300,0303-9 2025,21842025,B,TGG,9902548,
GLOBE DANAE,ILHAS MARSHALL,229 13.4,Long,13/01/2025 10:18:00,0167-8,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,SOJA A GRANEL,63000,5960-0 2024,587082024,B,16/17-19,9483499,
CL DAYANG HE,LIBERIANA,229 13,Long,16/01/2025 10:12:00,0206-2,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,SOJA A GRANEL,68300,0277-8 2025,21632025,B,16/17-19,9880283,
VICTORIA,ILHAS MARSHALL,200 13.2,Long,16/01/2025 17:45:00,0210--,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,PELLETS A GRANEL,55000,0134-2 2025,9442025,B,35/37,9738466,
JY SHANGHAI,ILHAS MARSHALL,229 13.6,Long,16/01/2025 22:18:00,0213-5,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,SOJA A GRANEL,69701,0191-6 2025,15312025,B,CUTRALE,9867152,
ALPHA VISION,GREGA,229 12.2,Long,21/01/2025 03:00:00,0277-1,FERTIMPORT S/A.,EMB,SOJA A GRANEL,66000,0225-8 2025,19272025,B,TGG,9597202,
KYPROS BRAVERY,CIPRIOTA,225 13,Long,21/01/2025 18:00:00,0286--,CARGILL AGRICOLA S/A.,EMB,SOJA A GRANEL,63000,0343-- 2025,32552025,B,19,9694490,
MEDI EGADI,LIBERIANA,229 13.3,Long,22/01/2025,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,MILHO A GRANEL,71437,4904-9 2024,475602024,B,TGG,9802217,
VIBEKE IRIS,PANAMENHA,229 13,Long,22/01/2025 08:00:00,,CARGILL AGRICOLA S/A.,EMB,SOJA A GRANEL,66000,0338-7 2025,30222025,B,TEG,9744996,
CANOLA ZIBO,ILHAS MARSHALL,229 14,Long,23/01/2025 07:00:00,,FERTIMPORT S/A.,EMB,PELLETS A GRANEL,63000,0344-7 2025,25702025,B,TGG,9883778,
IVESTOS 9,LIBERIANA,225 14,Long,23/01/2025 07:00:00,,WAYPOINT AGENCIA MARITIMA LTDA,EMB,SOJA A GRANEL,65000,0334-1 2025,23102025,B,AR.12A - BG/ITA,9349306,
AMFITRITI,GREGA,196 13,Long,24/01/2025 08:00:00,,AGENCIA MARITIMA NAABSA LTDA,EMB,MILHO A GRANEL,55950,0371-4 2025,33972025,B,38,9463592,
IOLCOS FIGHTER,MALTESA,225 13.1,Long,25/01/2025 08:00:00,,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,EMB,SOJA A GRANEL,66200,0279-- 2025,23832025,B,16/17-19,9664964,
PHOENIX,ILHAS MARSHALL,229 8,Long,28/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,SOJA A GRANEL,69300,0356-5 2025,27652025,B,39,9609160,
EN MAY,LIBERIANA,228 12.2,Long,29/01/2025 07:00:00,,FERTIMPORT S/A.,EMB,PELLETS A GRANEL,63000,0339-3 2025,30262025,B,35/37,9789829,
SYLVIA,ILHAS MARSHALL,229 13,Long,30/01/2025 22:00:00,,FERTIMPORT S/A.,EMB,SOJA A GRANEL,66000,0369-0 2025,34112025,B,ULTRAFERTIL,9471264,
ANNA G.,ILHAS MARSHALL,229 14,Long,31/01/2025 07:00:00,,FERTIMPORT S/A.,EMB,SOJA A GRANEL,66000,0368-3 2025,33182025,B,TGG,9701310,
TAI KUDOS,PANAMENHA,229 13.4,Long,01/02/2025 12:00:00,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,SOJA A GRANEL,69300,0278-4 2025,24222025,B,16/17-19,9799719,
