Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
MANDARIN SINGAPORE,SINGAPURENSE,190 6,Long,25/12/2024 19:42:00,5504-2,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",DESC,FERTILIZANTES,49500,5765-2 2024,560642024,B,ULTRAFERTIL,9569968,
WISDOM DIVA,PANAMENHA,229 7.1,Long,04/01/2025 15:00:00,0058-2,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,DESC,FERTILIZANTES,77500,5995-8 2024,583672024,B,TERMAG,9959759,
SUPRA MONARCH,LIBERIANA,190 6,Long,09/01/2025 15:30:00,0124-4,ZPORT AGENCIA MARITIMA LTDA,DESC,FERTILIZANTES,51115,0051-0 2025,585512024,B,TERMAG,9479046,
ORIENT FOCUS,PORTUGUESA,190 6.3,Long,11/01/2025 01:13:00,0225-9,AGENCIA MARITIMA NAABSA LTDA,DESC,ENXOFRE A GRANEL,44029,0079-1 2025,4722025,B,ULTRAFERTIL,9520649,
LAOURA,LIBERIANA,180 5,Long,11/01/2025 15:16:00,0145-7,ROCHAMAR AGENCIA MARITIMA S/A,DESC,FERTILIZANTES,17499,0175-- 2025,5872025,B,ULTRAFERTIL,9762912,
ROSTRUM AMERICA,LIBERIANA,180 7,Long,16/01/2025 23:30:00,0214-3,ORION OPERACOES PORTUARIAS LTDA,DESC,FERTILIZANTES,21250,0215-2 2025,1932025,B,23,9910351,
FEDERAL ST LAURENT,ILHAS MARSHALL,200 9,Long,18/01/2025 11:18:00,0242-9,ROCHAMAR AGENCIA MARITIMA S/A,DESC,FERTILIZANTES,15998,0209-2 2025,17222025,B,ULTRAFERTIL,9838462,
STAR STONINGTON,LIBERIANA,200 6,Long,18/01/2025 18:00:00,0248-8,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",DESC,FERTILIZANTES,49223,0214-6 2025,14472025,B,ULTRAFERTIL,9575151,
GLADIATOR,BAHAMENSE,190 9,Long,19/01/2025 15:36:00,0260-7,ROCHAMAR AGENCIA MARITIMA S/A,DESC,FERTILIZANTES,46541,0240-7 2025,20322025,B,TERMAG,9605853,
GENCO MADELEINE,ILHAS MARSHALL,200 7,Long,19/01/2025 19:00:00,0261-5,ORION OPERACOES PORTUARIAS LTDA,DESC,FERTILIZANTES,35727,0156-6 2025,8912025,B,ULTRAFERTIL,9705976,
SIDER IMABARI,ILHAS MARSHALL,183 5,Long,20/01/2025 20:48:00,0274-7,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",DESC,ENXOFRE A GRANEL,32175,0204-- 2025,13912025,B,ULTRAFERTIL,9984417,
SAGA FALCON,HONG KONG,200 7.4,Long,21/01/2025 16:12:00,0284-4,AGENCIA MARITIMA NAABSA LTDA,DESC,ENXOFRE A GRANEL,35002,0295-6 2025,16402025,B,ULTRAFERTIL,9613848,
EQUINOX STAR,GRANDCAYMANA,197 7.9,Long,22/01/2025,,WORLD SHIPPING AGENCIAMENTOS LTDA,DESC,FERTILIZANTES,14170,0182-7 2025,13662025,B,CODESP-RUA,9503976,
CAPTAIN D LEMPESIS,LIBERIANA,190 9,Long,22/01/2025 12:00:00,0293-3,ROCHAMAR AGENCIA MARITIMA S/A,DESC,FERTILIZANTES,17000,0239-9 2025,1502025,B,CODESP-RUA,9364801,
KIRRIBILLI,PANAMENHA,229 9,Long,25/01/2025 11:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,DESC,FERTILIZANTES,32825,0241-3 2025,21882025,B,23,9461178,
LETO,PANAMENHA,200 5,Long,30/01/2025 10:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",DESC,ENXOFRE A GRANEL,41353,0317-0 2025,26292025,B,TERMAG,9696424,
MUSALA,MALTESA,190 8,Long,05/02/2025 13:00:00,,ORION OPERACOES PORTUARIAS LTDA,DESC,FERTILIZANTES,13793,0359-4 2025,34262025,B,CODESP-RUA,9937294,
