Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
BRAM ATLAS,BRASILEIRA,96 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5603-2 2024,547692024,B,SAIPEN,9703629,
BRAM ATLAS,BRASILEIRA,96 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5556-4 2024,540682024,B,SAIPEN,9703629,
BRAM TITAN,BRASILEIRA,96 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5680-7 2024,554682024,B,SAIPEN,9999309,
BRAM TITAN,BRASILEIRA,96 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5559-3 2024,540732024,B,SAIPEN,9999309,
C TEMPORAL,BRASILEIRA,17 1.6,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5233-- 2024,506492024,B,CODESP-RUA,9999283,
CBO FLAMENGO,BRASILEIRA,89 6,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5331-2 2024,512692024,B,SAIPEN,9578880,
HOS REMINGTON,MEXICANA,82 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0058-4 2025,4272025,B,SAIPEN,9686144,
HOS TAURUS (REB),BRASILEIRA,85 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0062-1 2025,4352025,B,SAIPEN,9385271,
NORMAND MAXIMUS,NORUEGUESA,178 7,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5558-7 2024,540662024,B,SAIPEN,9744518,
SKANDI AMAZONAS,BRASILEIRA,95 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5605-5 2024,548032024,B,SAIPEN,9528328,
SKANDI AMAZONAS,BRASILEIRA,95 7,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5313-4 2024,512442024,B,SAIPEN,9528328,
SKANDI ANGRA,BRASILEIRA,94 6,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5274-9 2024,510242024,B,SAIPEN,9600580,
SKANDI ANGRA,BRASILEIRA,94 7,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5026-5 2024,488762024,B,SAIPEN,9600580,
SKANDI IGUAÇU,BRASILEIRA,95 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5249-4 2024,509612024,B,SAIPEN,9528354,
SKANDI IGUAÇU,BRASILEIRA,95 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5606-1 2024,547992024,B,SAIPEN,9528354,
HOS COLT,MEXICANA,82 5,Long,01/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0059-- 2025,4572025,B,SAIPEN,9686156,
HOS REMINGTON,MEXICANA,82 5,Long,07/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0335-8 2025,30622025,B,SAIPEN,9686144,
HOS TAURUS (REB),BRASILEIRA,85 5,Long,17/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0348-2 2025,33852025,B,SAIPEN,9385271,
CBO FLAMENGO,BRASILEIRA,89 5,Long,20/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5682-0 2024,553972024,B,SAIPEN,9578880,
HOS COLT,MEXICANA,82 5,Long,20/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0066-7 2025,4182025,B,SAIPEN,9686156,
NORMAND MAXIMUS,NORUEGUESA,178 8,Long,15/03/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0222-9 2025,20652025,B,SAIPEN,9744518,
CBO IPANEMA,BRASILEIRA,89 5,Long,28/03/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0330-6 2025,27492025,B,SAIPEN,9627631,
