Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
PRAVASI,REP. GABON,228 6,Long,15/01/2025 19:42:00,0199-6,NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,DESC,OLEO DIESEL,26821,0181-- 2025,7772025,B,ALAMOA,9409467,
ARCTOS,LIBERIANA,183 10.7,Cabo,16/01/2025 10:00:00,0205-4,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,30000,0285-- 2025,24592025,B,ALAMOA,9829409,
CLARITY,LIBERIANA,183 10.6,Cabo,18/01/2025 18:30:00,0249-6,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,30000,0332-9 2025,30002025,B,ALAMOA,9416381,
ANITA GARIBALDI,BRASILEIRA,228 10,Cabo,19/01/2025 15:30:00,0259-3,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,60000,0286-7 2025,24402025,B,ALAMOA,9492270,
ECO ORACLE,ILHAS MARSHALL,180 5.4,Long,19/01/2025 22:54:00,0263-1,WILHELMSEN PORT SERVICES BRASIL LTDA,DESC,GRAN.LIQUIDO NAO ESPECIF,16799,0319-2 2025,712025,B,ULTRAFERTIL,9936549,
VORIAS,LIBERIANA,183 11,Cabo,21/01/2025 23:24:00,0289-5,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,30000,0324-6 2025,26482025,B,ALAMOA,9448322,
ALESSANDRO VOLTA,ITALIANA,180 8.5,Long,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,GAS LIQUEFEITO,4000,5817-2 2024,572712024,B,ALA.-DOW,9292773,
ALTAIR,BAHAMENSE,183 9,Cabo,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,30000,5879-8 2024,580182024,B,ALAMOA,9797254,
CLARICE,SINGAPURENSE,157 8,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,DESC,GRAN.LIQUIDO NAO ESPECIF,4848,0294-0 2025,13552025,B,ALAMOA,9674775,
ELANDRA STAR,ILHAS MARSHALL,183 10,Cabo,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,30000,0160-3 2025,11362025,B,ALAMOA,9635767,
JAKARTA,LIBERIANA,183 9,Cabo,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO COMBUSTIVEL,50000,0284-4 2025,23762025,B,ALAMOA,9413523,
LUIGI LAGRANGE,ITALIANA,180 10.1,Long,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,GAS LIQUEFEITO,10000,0340-1 2025,30822025,B,ALAMOA,9292759,
MANDALA,LIBERIANA,183 6,Long,22/01/2025,,TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA,DESC,OLEO DIESEL,38863,0336-4 2025,25152025,B,ILHA,9299135,
MARLIN,LIBERIANA,144 8.2,Cabo,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,16000,5802-5 2024,571262024,B,ALAMOA,9453638,
MERSEY,ILHAS MARSHALL,183 11,Cabo,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,30000,0184-0 2025,14102025,B,ALAMOA,9865752,
STI JARDINS,ILHAS MARSHALL,183 10,Cabo,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,GASOLINA COMUM,25000,0325-2 2025,25752025,B,ALAMOA,9794446,
WITHAM,SINGAPURENSE,183 9,Cabo,22/01/2025,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC,OLEO LUBRIFICANTE,2992,0135-9 2025,5622025,B,ILHA,9865764,
BOW LYNX,PANAMENHA,157 8,Long,22/01/2025 07:00:00,,AGENCIA MARITIMA GRANEL LTDA.,EMB,GRAN.LIQUIDO NAO ESPECIF,2280,0289-6 2025,24522025,B,ALAMOA,9989194,
SOUTHERN QUOKKA,LIBERIANA,157 8,Long,22/01/2025 12:30:00,0294-1,AGENCIA MARITIMA GRANEL LTDA.,EMB,GRAN.LIQUIDO NAO ESPECIF,2500,0110-6 2025,8392025,B,ILHA,9792010,
ORANGE SUN,LIBERIANA,205 9,Long,23/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB,SUCOS CITRICOS A GRANEL,30000,0198-- 2025,15232025,B,CUTRALE,9342580,
CASTILLO DE MACEDA (REB),BRASILEIRA,140 8,Cabo,23/01/2025 01:00:00,,ORION OPERACOES PORTUARIAS LTDA,DESC,SODA CAUSTICA,8001,0345-3 2025,7272025,B,ILHA,9403968,
HORIZON ARMONIA,LIBERIANA,183 10,Cabo,23/01/2025 09:22:00,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB,OLEO DIESEL,25000,0360-2 2025,35002025,B,ALAMOA,9407354,
