Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
GRANDE NIGERIA,ITALIANA,214 9,Long,20/01/2025 14:00:00,0270-4,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600,0327-5 2025,578062024,B,CAIS SABOO,9246580,
GRANDE LAGOS,ITALIANA,236 9,Long,22/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,0266-6 2025,17772025,B,TEVI,9672088,
GRANDE AMBURGO,ITALIANA,214 9,Long,26/01/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600,0328-1 2025,20242025,B,CAIS SABOO,9246607,
CHESAPEAKE HIGHWAY,PANAMENHA,200 8.5,Long,28/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,0288-0 2025,24352025,B,TEVI,9565546,
ADRIATIC HIGHWAY,JAPONESA,200 8.5,Long,28/01/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,5731-- 2024,561992024,B,TEVI,9442885,
POLARIS LEADER,SINGAPURENSE,180 9,Long,30/01/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,2500 2500,0276-1 2025,561022024,B,TEVI,9372810,
FLORIDA HIGHWAY,PANAMENHA,200 8.5,Long,02/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,0157-2 2025,8952025,B,TEVI,9442861,
GLORIOUS LEADER,BAHAMENSE,200 9,Long,03/02/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,2500 2500,0372-- 2025,560862024,B,TEVI,9357298,
GLOVIS SKY,ILHAS MARSHALL,230 8.7,Long,06/02/2025 07:00:00,,GLS BRASIL SERVICOS MARITIMOS,EMB DESC,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,2800 5,0226-4 2025,20842025,B,TEVI,9798404,
GOODWOOD,LIBERIANA,200 8.5,Long,07/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,VEICULO,9800,5964-5 2024,588412024,B,TEVI,9701140,
