Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
UTRECHT,HOLANDESA,154 8,Long,07/01/2025 08:00:00,0091-4,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5902-0 2024,581592024,B,CODESP-RUA,9125956,
FLORIDA HIGHWAY,PANAMENHA,200 8,Long,21/01/2025 14:00:00,0283-6,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,VEICULO VEICULO,9800 27200,5650-- 2024,533492024,SP,TEVI,9442861,
CBO ANITA,BRASILEIRA,76 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5604-9 2024,547732024,B,SAIPEN,9477402,
CBO ENDEAVOUR (REB),BRASILEIRA,80 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5251-9 2024,509692024,B,SAIPEN,9417830,
CBO ENDEAVOUR (REB),BRASILEIRA,80 5,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4941-1 2024,481272024,B,SAIPEN,9417830,
SAIPEM FDS,BAHAMENSE,163 7,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4977-6 2024,485782024,B,SAIPEN,9210749,
SAIPEM FDS,BAHAMENSE,163 7,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5273-2 2024,510062024,B,SAIPEN,9210749,
SIEM EMERALD,NORUEGUESA,91 7,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,4925-6 2024,481162024,B,SAIPEN,9417701,
SIEM EMERALD,NORUEGUESA,91 7,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,5252-5 2024,509882024,B,SAIPEN,9417701,
BRAVE SWALLOW,LIBERIANA,180 7,Long,23/01/2025 13:00:00,,LBH BRASIL AG MARITIMO LTDA,DESC,PRODUTOS SIDERURGICOS,32687,0068-0 2025,4402025,B,USIMINAS,9993652,
COSCO SHIPPING FOUNTAIN,HONG KONG,202 8,Long,24/01/2025 14:05:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,20000,0238-2 2025,21692025,B,CODESP-RUA,9928891,
HOEGH GIANT,SINGAPURENSE,294 9,Long,25/01/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,GRAN.LIQUIDO NAO ESPECIF,1,0169-- 2025,8702025,B,TRSP,9762962,
GREEN VITORIA,LIBERIANA,225 7,Long,25/01/2025 10:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,45000,0333-5 2025,30382025,B,35/37,9976472,
MAPLE ARROW,BAHAMENSE,190 7,Long,26/01/2025 08:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,4690,0269-5 2025,22942025,B,EPORT 1/TECON 1,9652569,
TEAL ARROW,BAHAMENSE,173 7.2,Long,28/01/2025 12:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,9696,0365-4 2025,35242025,B,EPORT 1/TECON 1,9186780,
ATLANTIC ORCHARD,LIBERIANA,180 9.1,Long,29/01/2025 10:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,SUCOS CITRICOS A GRANEL,24000,0265-0 2025,23192025,B,29/30,9638159,
CBO ANITA,BRASILEIRA,76 5,Long,05/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0108-1 2025,8062025,B,SAIPEN,9477402,
CBO ANITA,BRASILEIRA,76 5,Long,20/02/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CARGA GERAL,1,0065-- 2025,4212025,B,SAIPEN,9477402,
