local,Sentido,Mercadoria,Peso,Total
paranagua,Exp,AÇÚCAR,270.85,5
paranagua,Exp,"BIODIESEL E SUAS MISTURAS,C/ M",5.0,1
paranagua,Exp,FARELO DE SOJA,519.323,9
paranagua,Exp,FUEL-OIL (OLEO COMBUSTIVEL),20.0,1
paranagua,Exp,MILHO,600.535,9
paranagua,Exp,OLEO DE MILHO,9.0,1
paranagua,Exp,OLEO DE SOJA,101.571,8
paranagua,Exp,OUTS.ACUCARES,52.667,2
paranagua,Exp,PASSAGEIROS,0.0,1
paranagua,Exp,PASTA QUIM.MADEIRA DE N/CONIF.,57.5,4
paranagua,Exp,SOJA,1480.538,24
paranagua,Imp,ADUBOS OU FERTILIZANTES C/NITR,35.2,1
paranagua,Imp,ALIMET,4.0009999999999994,2
paranagua,Imp,CEVADA CERVEJEIRA,123.949,4
paranagua,Imp,CLORETO DE POTASSIO,26.664,2
paranagua,Imp,CLORETOS DE POTASSIO,285.18399999999997,11
paranagua,Imp,DAP - Fosfato Diamonico,55.952,3
paranagua,Imp,FERTILIZ.MINER.QUIM.C/NITROGEN,107.75200000000001,4
paranagua,Imp,FOSFATO MONO OU DISSODICO,33.0,1
paranagua,Imp,GASOLINAS,25.0,1
paranagua,Imp,MAP,171.422,6
paranagua,Imp,METANOL,100.128,5
paranagua,Imp,METILATO DE SODIO,1.8,1
paranagua,Imp,NITRATO DE AMONIO,12.857,1
paranagua,Imp,OLEO DIESEL,32.899,1
paranagua,Imp,OUT.TRIGOS E MISTURAS DE TRIGO,33.0,1
paranagua,Imp,OUTROS OLEOS DE DENDE,13.0,1
paranagua,Imp,OUTROS OLEOS DE PALMISTE,6.0,1
paranagua,Imp,PASSAGEIROS,0.0,1
paranagua,Imp,SAL MARINHO,14.2,1
paranagua,Imp,SODA CÁUSTICA,10.001,1
paranagua,Imp,SULFATO DE AMONIO,855.4780000000001,18
paranagua,Imp,"SUPERFOSFATO, MINERAIS OU QUIM",37.4,1
paranagua,Imp,UREIA,203.154,7
paranagua,Imp/Exp,CONTÊINERES (CONTENTORES) INCL,3.402,1
paranagua,Imp/Exp,PASSAGEIROS,0.0,5
santos,Exp,CONTEINERES CHEIOS,540.0,1
santos,Exp,PRODUTOS SIDERURGICOS,32687.0,1
santos,Imp,CARGA GERAL,10.0,10
santos,Imp,CONTEINERES CHEIOS CONTEINERES CHEIOS,38754.0,7
santos,Imp,GRAN.LIQUIDO NAO ESPECIF,1.0,1
santos,Imp,PAPEL E CELULOSE,79386.0,4
santos,Imp,SUCOS CITRICOS A GRANEL,24000.0,1
santos,Imp,VEICULO,39200.0,4
santos,Imp/Exp,CONTEINERES CHEIOS CONTEINERES CHEIOS,787892.0,140
santos,Imp/Exp,CONTEINERES VAZIOS CONTEINERES CHEIOS,950.0,1
santos,Imp/Exp,VEICULO VEICULO,18500.0,1
santos,Imp/Exp,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,6402.5,3
