Chegada,Sentido,local,Mercadoria,Peso
07/01/2025 08:00:00,Imp,santos,CARGA GERAL,1.0
21/01/2025 14:00:00,Imp/Exp,santos,VEICULO VEICULO,18500.0
22/01/2025,Imp,santos,CARGA GERAL,1.0
22/01/2025,Imp,santos,CARGA GERAL,1.0
22/01/2025,Imp,santos,CARGA GERAL,1.0
22/01/2025,Imp,santos,CARGA GERAL,1.0
22/01/2025,Imp,santos,CARGA GERAL,1.0
22/01/2025,Imp,santos,CARGA GERAL,1.0
22/01/2025,Imp,santos,CARGA GERAL,1.0
23/01/2025 13:00:00,Exp,santos,PRODUTOS SIDERURGICOS,32687.0
24/01/2025 14:05:00,Imp,santos,PAPEL E CELULOSE,20000.0
25/01/2025 06:00:00,Imp,santos,GRAN.LIQUIDO NAO ESPECIF,1.0
25/01/2025 10:00:00,Imp,santos,PAPEL E CELULOSE,45000.0
26/01/2025 08:00:00,Imp,santos,PAPEL E CELULOSE,4690.0
28/01/2025 12:00:00,Imp,santos,PAPEL E CELULOSE,9696.0
29/01/2025 10:00:00,Imp,santos,SUCOS CITRICOS A GRANEL,24000.0
05/02/2025 06:00:00,Imp,santos,CARGA GERAL,1.0
20/02/2025 06:00:00,Imp,santos,CARGA GERAL,1.0
13/06/2024 10:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,9900.0
05/08/2024 16:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
24/11/2024 17:00:00,Imp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620.0
15/01/2025 13:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
16/01/2025 21:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1715.0
19/01/2025 01:48:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,11016.0
20/01/2025 06:12:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
20/01/2025 20:35:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
21/01/2025 16:30:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8415.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,13653.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8415.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7434.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8550.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8100.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8100.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8100.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8460.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,11016.0
22/01/2025,Imp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,2106.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,6300.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8460.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8865.0
22/01/2025 05:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8415.0
22/01/2025 10:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8100.0
22/01/2025 12:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/01/2025 12:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400.0
22/01/2025 13:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
22/01/2025 18:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8550.0
23/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,2448.0
23/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
23/01/2025 01:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
23/01/2025 07:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
23/01/2025 07:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,10890.0
23/01/2025 20:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
24/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
24/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600.0
24/01/2025 01:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
24/01/2025 03:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
24/01/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
24/01/2025 10:21:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
24/01/2025 13:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,14400.0
25/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,9396.0
25/01/2025 03:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
25/01/2025 07:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
25/01/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
25/01/2025 22:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8550.0
25/01/2025 23:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,9900.0
26/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,8460.0
26/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
26/01/2025 07:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,6300.0
26/01/2025 07:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000.0
26/01/2025 12:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
